len,spec_chars,domain,depth,numericals_count,word_count,label
15,2,0,1,2,6,1
25,3,0,1,0,10,1
26,4,0,2,1,9,1
25,4,0,2,0,9,1
40,4,0,2,0,25,1
29,4,0,2,1,9,1
26,4,0,2,0,9,1
28,5,0,1,3,4,1
26,4,0,2,0,9,1
26,4,0,2,0,9,1
34,4,0,2,0,15,1
32,3,0,2,0,11,1
31,2,0,1,0,19,1
38,3,0,3,0,19,1
38,2,0,3,0,26,1
28,4,0,2,1,9,1
28,3,0,2,0,7,1
54,6,0,2,1,21,1
25,4,0,2,1,9,1
32,4,0,2,0,17,1
58,7,0,2,0,32,1
59,5,0,2,0,32,1
41,2,0,3,0,17,1
65,6,0,2,1,44,1
60,6,0,2,1,40,1
45,4,0,2,1,30,1
60,6,0,2,1,36,1
53,6,0,2,1,31,1
54,5,0,3,0,27,1
53,6,0,2,0,21,1
48,4,0,3,0,35,1
45,4,0,3,0,25,1
27,3,0,1,3,11,1
24,3,0,1,3,3,1
28,3,0,1,3,11,1
36,4,0,2,1,18,1
37,5,0,2,1,21,1
36,4,0,2,0,12,1
45,5,0,2,6,24,1
16,2,0,2,6,0,1
50,4,0,2,1,30,1
43,4,0,2,1,24,1
25,2,0,2,0,7,1
48,5,0,2,1,29,1
28,4,0,1,2,9,1
49,5,0,2,1,30,1
42,4,0,2,1,19,1
43,4,0,2,1,27,1
41,5,0,2,7,8,1
36,3,0,1,9,19,1
45,4,0,2,0,31,1
43,4,0,2,0,25,1
43,3,0,2,0,27,1
59,7,0,2,2,29,1
65,5,0,3,0,35,1
44,5,0,2,1,22,1
48,5,0,2,1,29,1
45,5,0,2,1,25,1
51,5,0,2,1,38,1
61,5,0,2,1,40,1
50,5,0,2,1,29,1
51,5,0,2,1,32,1
51,5,0,2,1,29,1
52,5,0,2,1,31,1
50,5,0,2,1,30,1
52,5,0,2,1,34,1
49,5,0,2,1,30,1
49,5,0,2,1,29,1
52,5,0,2,1,32,1
49,5,0,2,1,31,1
50,5,0,2,1,31,1
50,5,0,2,1,27,1
29,4,0,1,0,5,1
19,1,0,0,0,19,1
16,1,0,0,0,5,1
46,4,0,1,7,15,1
22,2,0,2,1,7,1
13,1,0,0,0,6,1
60,5,0,2,2,34,1
20,2,0,2,1,3,1
42,3,0,2,0,21,1
23,3,0,1,1,10,1
42,3,0,2,0,21,1
58,3,0,3,7,32,1
24,3,0,1,1,12,1
41,3,0,2,1,23,1
48,3,0,2,0,38,1
41,3,0,2,9,10,1
59,7,0,2,19,8,1
40,3,0,2,9,13,1
43,3,0,2,9,15,1
59,4,0,2,19,20,1
42,5,0,2,9,8,1
43,3,0,2,9,11,1
39,3,0,2,10,8,1
41,3,0,2,10,8,1
61,7,0,2,21,8,1
55,6,0,2,15,13,1
32,2,0,3,0,17,1
42,3,0,2,10,11,1
42,3,0,2,10,10,1
61,7,0,2,21,8,1
22,1,0,2,0,13,1
25,3,0,1,0,7,1
44,3,0,3,3,29,1
44,5,0,2,11,8,1
39,3,0,2,10,8,1
49,6,0,2,5,20,1
28,2,0,1,0,17,1
21,2,0,0,0,10,1
50,3,0,2,10,13,1
11,1,0,0,0,2,1
11,1,0,0,0,4,1
24,3,0,1,1,12,1
11,1,0,0,0,4,1
23,3,0,1,1,10,1
51,7,0,1,0,18,1
40,3,0,2,3,14,1
28,2,0,1,0,9,1
10,1,0,0,0,7,1
103,9,0,3,39,12,1
79,8,0,4,29,9,1
46,2,0,4,0,24,1
113,5,0,3,19,30,1
51,3,0,2,22,1,1
32,3,0,5,4,8,1
54,2,0,5,0,38,1
20,1,0,2,0,11,1
43,4,0,2,0,29,1
43,3,0,2,0,23,1
48,5,0,2,3,17,1
39,3,0,2,6,15,1
28,4,0,1,1,9,1
22,2,0,2,0,6,1
46,4,0,2,0,33,1
32,3,0,2,0,13,1
23,3,0,1,0,6,1
27,3,0,1,0,11,1
40,4,0,3,0,20,1
23,3,0,1,0,7,1
24,3,0,1,0,10,1
25,3,0,1,0,9,1
21,3,0,1,0,6,1
29,3,0,1,0,12,1
23,4,0,1,0,5,1
35,3,0,1,2,10,1
23,3,0,1,0,6,1
40,4,0,3,0,20,1
20,3,0,1,0,2,1
71,6,0,1,5,17,1
27,2,0,2,2,7,1
46,3,0,3,0,27,1
31,1,0,3,0,17,1
41,3,0,3,0,19,1
50,2,0,4,1,28,1
50,2,0,4,1,28,1
50,2,0,4,1,28,1
50,2,0,4,1,28,1
50,2,0,4,1,28,1
50,2,0,4,1,28,1
30,3,0,2,0,18,1
44,5,0,2,0,30,1
48,4,0,2,0,32,1
45,4,0,2,0,29,1
43,4,0,2,0,27,1
45,4,0,2,0,25,1
47,5,0,3,0,29,1
51,4,0,3,0,31,1
31,2,0,2,2,20,1
15,2,0,0,0,6,1
43,3,0,2,0,24,1
39,2,0,2,0,25,1
32,2,0,2,0,16,1
47,4,0,2,0,29,1
23,2,0,2,0,7,1
53,4,0,2,3,17,1
27,2,0,1,1,12,1
54,7,0,2,5,14,1
54,7,0,2,5,10,1
54,7,0,2,5,11,1
54,7,0,2,5,14,1
54,7,0,2,5,16,1
54,7,0,2,5,15,1
54,7,0,2,5,10,1
54,7,0,2,5,14,1
54,7,0,2,5,10,1
54,7,0,2,5,14,1
54,7,0,2,5,11,1
54,7,0,2,5,15,1
54,7,0,2,5,11,1
54,7,0,2,5,12,1
54,7,0,2,5,11,1
54,7,0,2,5,15,1
54,7,0,2,5,14,1
54,7,0,2,5,14,1
54,7,0,2,5,14,1
54,7,0,2,5,17,1
54,7,0,2,5,10,1
54,7,0,2,5,14,1
54,7,0,2,5,14,1
54,7,0,2,5,14,1
54,7,0,2,5,14,1
54,7,0,2,5,10,1
54,7,0,2,5,15,1
54,7,0,2,5,15,1
54,7,0,2,5,10,1
54,7,0,2,5,16,1
54,7,0,2,5,14,1
54,7,0,2,5,14,1
54,7,0,2,5,10,1
54,7,0,2,5,10,1
54,7,0,2,5,14,1
54,7,0,2,5,14,1
54,7,0,2,5,10,1
54,7,0,2,5,14,1
54,7,0,2,5,14,1
54,7,0,2,5,12,1
54,7,0,2,5,16,1
54,7,0,2,5,12,1
54,7,0,2,5,12,1
54,7,0,2,5,14,1
54,7,0,2,5,15,1
54,7,0,2,5,11,1
54,7,0,2,5,10,1
54,7,0,2,5,14,1
54,7,0,2,5,10,1
54,7,0,2,5,11,1
54,7,0,2,5,14,1
54,7,0,2,5,11,1
54,7,0,2,5,10,1
54,7,0,2,5,15,1
54,7,0,2,5,11,1
54,7,0,2,5,10,1
54,7,0,2,5,14,1
54,7,0,2,5,15,1
56,7,0,2,4,14,1
56,7,0,2,4,17,1
56,7,0,2,4,17,1
56,7,0,2,4,14,1
56,7,0,2,4,12,1
56,7,0,2,4,16,1
56,7,0,2,4,17,1
56,7,0,2,4,17,1
56,7,0,2,4,13,1
56,7,0,2,4,17,1
56,7,0,2,4,13,1
56,7,0,2,4,13,1
56,7,0,2,4,17,1
56,7,0,2,4,13,1
56,7,0,2,4,13,1
56,7,0,2,4,16,1
56,7,0,2,4,12,1
56,7,0,2,4,16,1
56,7,0,2,4,17,1
56,7,0,2,4,17,1
56,7,0,2,4,19,1
56,7,0,2,4,13,1
56,7,0,2,4,16,1
56,7,0,2,4,12,1
56,7,0,2,4,16,1
56,7,0,2,4,12,1
56,7,0,2,4,12,1
56,7,0,2,4,18,1
56,7,0,2,4,18,1
56,7,0,2,4,19,1
54,7,0,2,5,10,1
54,7,0,2,5,11,1
54,7,0,2,5,10,1
54,7,0,2,5,14,1
56,7,0,2,4,13,1
56,7,0,2,4,13,1
56,7,0,2,4,17,1
56,7,0,2,4,12,1
56,7,0,2,4,12,1
56,7,0,2,4,12,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,12,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,19,1
56,7,0,2,4,20,1
56,7,0,2,4,18,1
56,7,0,2,4,17,1
56,7,0,2,4,15,1
56,7,0,2,4,20,1
56,7,0,2,4,21,1
56,7,0,2,4,14,1
56,7,0,2,4,18,1
56,7,0,2,4,15,1
56,7,0,2,4,12,1
56,7,0,2,4,14,1
56,7,0,2,4,16,1
56,7,0,2,4,17,1
56,7,0,2,4,17,1
56,7,0,2,4,12,1
56,7,0,2,4,17,1
56,7,0,2,4,16,1
56,7,0,2,4,12,1
56,7,0,2,4,12,1
56,7,0,2,4,19,1
56,7,0,2,4,20,1
56,7,0,2,4,17,1
33,2,0,1,0,24,1
56,7,0,2,4,12,1
56,7,0,2,4,18,1
56,7,0,2,4,19,1
56,7,0,2,4,17,1
56,7,0,2,4,17,1
56,7,0,2,4,12,1
56,7,0,2,4,16,1
56,7,0,2,4,12,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,12,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,14,1
56,7,0,2,4,18,1
56,7,0,2,4,18,1
56,7,0,2,4,14,1
56,7,0,2,4,18,1
56,7,0,2,4,19,1
56,7,0,2,4,17,1
56,7,0,2,4,15,1
56,7,0,2,4,16,1
56,7,0,2,4,16,1
56,7,0,2,4,13,1
56,7,0,2,4,16,1
56,7,0,2,4,20,1
54,7,0,2,5,14,1
37,5,0,2,3,10,1
70,7,0,1,5,21,1
75,4,0,1,8,12,1
43,2,0,4,2,17,1
27,3,0,2,0,6,1
24,3,0,2,0,2,1
29,2,0,3,0,10,1
44,4,0,3,0,19,1
26,4,0,2,1,9,1
44,5,0,2,11,8,1
39,3,0,2,10,8,1
25,4,0,2,1,9,1
58,10,0,1,6,26,1
43,3,0,2,10,10,1
45,4,0,4,0,29,1
39,3,0,2,10,9,1
25,4,0,2,1,9,1
48,3,0,2,15,10,1
27,4,0,2,3,9,1
22,2,0,0,0,12,1
45,5,0,1,0,17,1
26,4,0,2,0,9,1
46,4,0,4,0,29,1
45,4,0,2,10,10,1
48,3,0,2,15,10,1
49,5,0,2,2,14,1
57,6,0,2,8,28,1
38,3,0,3,0,11,1
22,2,0,2,1,14,1
62,4,0,3,0,39,1
103,4,0,3,2,41,1
30,3,0,1,1,17,1
41,3,0,2,1,24,1
91,13,0,2,43,11,1
98,14,0,2,43,17,1
29,4,0,1,5,6,1
45,1,0,1,13,12,1
29,1,0,1,4,4,1
47,3,0,1,12,2,1
27,1,0,1,7,2,1
36,2,0,1,9,3,1
156,15,0,1,47,19,1
9,1,0,0,0,3,1
38,1,0,1,8,10,1
